ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032956	regulation of actin cytoskeleton organization	7/47	346/18614	2.39470107164912e-05	0.000387172472533051	0.000191171295692926	PDGFA/ELN/TEK/SLIT2/MDK/CX3CL1/NTF3	7
BP	GO:0060389	pathway-restricted SMAD protein phosphorylation	4/47	67/18614	2.43351072349168e-05	0.000390334885684602	0.000192732777106476	INHBA/TGFBR3/BMP4/MSTN	4
BP	GO:0050769	positive regulation of neurogenesis	6/47	232/18614	2.46134849812185e-05	0.000390334885684602	0.000192732777106476	PTN/SLIT2/MDK/PLXND1/CX3CL1/VEGFC	6
BP	GO:0045785	positive regulation of cell adhesion	8/47	482/18614	2.46866705477082e-05	0.000390334885684602	0.000192732777106476	TEK/MDK/WNT5A/MAP3K8/CX3CL1/CD40LG/TNFSF4/VCAM1	8
BP	GO:0070661	leukocyte proliferation	7/47	348/18614	2.48475028810514e-05	0.000390334885684602	0.000192732777106476	GAL/CX3CL1/BMP4/NPR3/CD40LG/TNFSF4/VCAM1	7
BP	GO:0007517	muscle organ development	7/47	351/18614	2.62505626759639e-05	0.000409471805121549	0.000202181872648825	ELN/FGFR2/WNT5A/TGFBR3/BMP4/MSTN/HBEGF	7
BP	GO:1904019	epithelial cell apoptotic process	5/47	140/18614	2.665731361955e-05	0.00041290873893219	0.000203878902103146	TEK/MDK/IGF1R/CD40LG/HMOX1	5
BP	GO:0071219	cellular response to molecule of bacterial origin	6/47	237/18614	2.77477158218123e-05	0.000426813823231349	0.000210744713003384	CXCL1/WNT5A/CX3CL1/TLR1/CD14/TNFSF4	6
BP	GO:0022407	regulation of cell-cell adhesion	8/47	491/18614	2.81732285093774e-05	0.000430370352746697	0.000212500794346593	MDK/WNT5A/MAP3K8/CX3CL1/BMP4/CD40LG/TNFSF4/VCAM1	8
BP	GO:0051384	response to glucocorticoid	5/47	142/18614	2.85385133643335e-05	0.000432964432205471	0.000213781653825108	SLIT2/MDK/IGF1R/MSTN/PTGDS	5
BP	GO:0032722	positive regulation of chemokine production	4/47	70/18614	2.89498751436257e-05	0.000436217506415857	0.000215387900280896	WNT5A/C5/TNFSF4/HMOX1	4
BP	GO:0002053	positive regulation of mesenchymal cell proliferation	3/47	24/18614	2.94209107791584e-05	0.000437364546146549	0.000215954265627309	PDGFA/FGFR2/WNT5A	3
BP	GO:0060571	morphogenesis of an epithelial fold	3/47	24/18614	2.94209107791584e-05	0.000437364546146549	0.000215954265627309	FGFR2/WNT5A/BMP4	3
BP	GO:0007405	neuroblast proliferation	4/47	73/18614	3.41761001162891e-05	0.00049961194545357	0.000246689704800408	PTN/FGFR2/CX3CL1/VEGFC	4
BP	GO:0061035	regulation of cartilage development	4/47	73/18614	3.41761001162891e-05	0.00049961194545357	0.000246689704800408	BMP1/MDK/WNT5A/BMP4	4
BP	GO:0045860	positive regulation of protein kinase activity	7/47	366/18614	3.42848829385746e-05	0.00049961194545357	0.000246689704800408	PDGFA/WNT5A/EREG/ADRB2/NTF3/VEGFC/HBEGF	7
BP	GO:0045123	cellular extravasation	4/47	74/18614	3.60623930894446e-05	0.000522079743092287	0.000257783463501431	IL1R1/MDK/CX3CL1/VCAM1	4
BP	GO:0060740	prostate gland epithelium morphogenesis	3/47	26/18614	3.7659970716278e-05	0.000538173129913263	0.000265729776395333	FGFR2/WNT5A/BMP4	3
BP	GO:1905523	positive regulation of macrophage migration	3/47	26/18614	3.7659970716278e-05	0.000538173129913263	0.000265729776395333	MDK/CX3CL1/MSTN	3
BP	GO:0001707	mesoderm formation	4/47	75/18614	3.80238288303702e-05	0.000539889620892756	0.000266577315484174	INHBA/FGFR2/WNT5A/BMP4	4
BP	GO:0070997	neuron death	7/47	373/18614	3.86735919636692e-05	0.00054561787388234	0.000269405712707022	MDK/WNT5A/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	7
BP	GO:1903036	positive regulation of response to wounding	4/47	76/18614	4.00622520791159e-05	0.000561632204780011	0.000277312990740849	PTN/MDK/IGF1R/HBEGF	4
BP	GO:0032729	positive regulation of type II interferon production	4/47	77/18614	4.21795235902083e-05	0.000583922779701947	0.000288319243488332	IL1R1/WNT5A/CD14/TNFSF4	4
BP	GO:0048332	mesoderm morphogenesis	4/47	77/18614	4.21795235902083e-05	0.000583922779701947	0.000288319243488332	INHBA/FGFR2/WNT5A/BMP4	4
BP	GO:0050767	regulation of neurogenesis	7/47	381/18614	4.42454357684741e-05	0.00060871826228056	0.000300562326011407	PTN/SLIT2/MDK/WNT5A/PLXND1/CX3CL1/VEGFC	7
BP	GO:0051402	neuron apoptotic process	6/47	259/18614	4.5584971185819e-05	0.000623275994917216	0.000307750390266835	MDK/PLXND1/CX3CL1/CRLF1/HMOX1/NTF3	6
BP	GO:0010976	positive regulation of neuron projection development	5/47	157/18614	4.61555250626799e-05	0.000627205447937645	0.000309690607298188	PTN/MDK/WNT5A/CX3CL1/IGF1R	5
BP	GO:0003401	axis elongation	3/47	28/18614	4.72837362082482e-05	0.000630924552417288	0.000311526962082244	FGFR2/WNT5A/BMP4	3
BP	GO:0010758	regulation of macrophage chemotaxis	3/47	28/18614	4.72837362082482e-05	0.000630924552417288	0.000311526962082244	MDK/C5/MSTN	3
BP	GO:0060512	prostate gland morphogenesis	3/47	28/18614	4.72837362082482e-05	0.000630924552417288	0.000311526962082244	FGFR2/WNT5A/BMP4	3
BP	GO:0032970	regulation of actin filament-based process	7/47	387/18614	4.88440337559983e-05	0.000647841525566085	0.000319879931121855	PDGFA/ELN/TEK/SLIT2/MDK/CX3CL1/NTF3	7
BP	GO:0071216	cellular response to biotic stimulus	6/47	264/18614	5.07013672286346e-05	0.000668473383401344	0.00033006717136937	CXCL1/WNT5A/CX3CL1/TLR1/CD14/TNFSF4	6
BP	GO:0030900	forebrain development	7/47	397/18614	5.73778175354059e-05	0.000748388785766732	0.000369526410080378	INHBA/FGFR2/SLIT2/MDK/WNT5A/BMP4/IGF1R	7
BP	GO:0021537	telencephalon development	6/47	270/18614	5.74384169662955e-05	0.000748388785766732	0.000369526410080378	INHBA/SLIT2/MDK/WNT5A/BMP4/IGF1R	6
BP	GO:0031960	response to corticosteroid	5/47	166/18614	6.01793315692884e-05	0.000779515903075871	0.000384895817177536	SLIT2/MDK/IGF1R/MSTN/PTGDS	5
BP	GO:0051250	negative regulation of lymphocyte activation	5/47	168/18614	6.36997897711915e-05	0.000820319967111566	0.000405043338875569	INHBA/MDK/GAL/BMP4/TNFSF4	5
BP	GO:0033688	regulation of osteoblast proliferation	3/47	31/18614	6.45341997518523e-05	0.000826261574857531	0.000407977082702614	FGFR2/IGF1R/NPR3	3
BP	GO:0008543	fibroblast growth factor receptor signaling pathway	4/47	86/18614	6.50978180200787e-05	0.000828687740887784	0.000409175032806182	FGF7/FGFR2/WNT5A/FGFR3	4
BP	GO:0007568	aging	5/47	169/18614	6.55186022789245e-05	0.000829278308844673	0.00040946663318979	INHBA/CX3CL1/IGF1R/VCAM1/PENK	5
BP	GO:1903034	regulation of response to wounding	5/47	170/18614	6.73772653023231e-05	0.000847958196844578	0.000418690063690872	PDGFA/PTN/MDK/IGF1R/HBEGF	5
BP	GO:0051962	positive regulation of nervous system development	6/47	280/18614	7.02458876200507e-05	0.00087906576880459	0.000434049820025172	PTN/SLIT2/MDK/PLXND1/CX3CL1/VEGFC	6
BP	GO:0001837	epithelial to mesenchymal transition	5/47	172/18614	7.12165559169382e-05	0.000886206018854034	0.000437575408620336	FGFR2/MDK/WNT5A/TGFBR3/BMP4	5
BP	GO:0031214	biomineral tissue development	5/47	173/18614	7.3198401778226e-05	0.000905779105803188	0.000447239867377694	PTN/FGFR2/BMP4/ADRB2/FGFR3	5
BP	GO:0014910	regulation of smooth muscle cell migration	4/47	90/18614	7.77537293434705e-05	0.000956802836087707	0.000472433478291613	PDGFA/SLIT2/MDK/BMP4	4
BP	GO:0010721	negative regulation of cell development	6/47	286/18614	7.89643451463508e-05	0.000966331627067222	0.000477138439122178	PTN/INHBA/MDK/WNT5A/BMP4/TNFSF4	6
BP	GO:0070098	chemokine-mediated signaling pathway	4/47	91/18614	8.11787236532218e-05	0.000987126098162283	0.000487405971719431	CXCL1/SLIT2/CX3CL1/ACKR3	4
BP	GO:0050680	negative regulation of epithelial cell proliferation	5/47	177/18614	8.15548875682608e-05	0.000987126098162283	0.000487405971719431	FGFR2/WNT5A/EREG/TGFBR3/BMP4	5
BP	GO:0032635	interleukin-6 production	5/47	178/18614	8.37544239104461e-05	0.00100278945384669	0.000495139951311258	WNT5A/CX3CL1/EREG/TLR1/TNFSF4	5
BP	GO:0032675	regulation of interleukin-6 production	5/47	178/18614	8.37544239104461e-05	0.00100278945384669	0.000495139951311258	WNT5A/CX3CL1/EREG/TLR1/TNFSF4	5
BP	GO:0001666	response to hypoxia	6/47	293/18614	9.0206371523274e-05	0.0010732215703745	0.000529916697929952	PDGFA/TGFBR3/HMOX1/VEGFC/VCAM1/PENK	6
BP	GO:0040013	negative regulation of locomotion	7/47	427/18614	9.06060648578018e-05	0.0010732215703745	0.000529916697929952	IFITM1/SLIT2/WNT5A/C5/CX3CL1/BMP4/HMOX1	7
BP	GO:0048333	mesodermal cell differentiation	3/47	35/18614	9.33026200365361e-05	0.00109928352862195	0.000542785118801573	INHBA/FGFR2/BMP4	3
BP	GO:0033687	osteoblast proliferation	3/47	36/18614	0.000101604639350379	0.00119076336593169	0.000587954443247248	FGFR2/IGF1R/NPR3	3
BP	GO:0030324	lung development	5/47	186/18614	0.000103041171584586	0.00120073255019746	0.000592876853822104	FGF7/PDGFA/FGFR2/WNT5A/BMP4	5
BP	GO:0001657	ureteric bud development	4/47	97/18614	0.000104081557398606	0.00120073255019746	0.000592876853822104	FGFR2/SLIT2/BMP4/CRLF1	4
BP	GO:0014909	smooth muscle cell migration	4/47	97/18614	0.000104081557398606	0.00120073255019746	0.000592876853822104	PDGFA/SLIT2/MDK/BMP4	4
BP	GO:0022412	cellular process involved in reproduction in multicellular organism	7/47	438/18614	0.000106162570682271	0.00121832512865568	0.000601563411511583	PTN/INHBA/SLIT2/MDK/EREG/BMP4/PTGDS	7
BP	GO:0032642	regulation of chemokine production	4/47	98/18614	0.000108310624478529	0.00121832512865568	0.000601563411511583	WNT5A/C5/TNFSF4/HMOX1	4
BP	GO:0072163	mesonephric epithelium development	4/47	98/18614	0.000108310624478529	0.00121832512865568	0.000601563411511583	FGFR2/SLIT2/BMP4/CRLF1	4
BP	GO:0072164	mesonephric tubule development	4/47	98/18614	0.000108310624478529	0.00121832512865568	0.000601563411511583	FGFR2/SLIT2/BMP4/CRLF1	4
BP	GO:0002040	sprouting angiogenesis	5/47	188/18614	0.000108356681871408	0.00121832512865568	0.000601563411511583	TEK/SLIT2/BMP4/HMOX1/VEGFC	5
BP	GO:0010092	specification of animal organ identity	3/47	37/18614	0.000110374193685138	0.00123474161117465	0.000609669256984892	FGFR2/WNT5A/BMP4	3
BP	GO:0002700	regulation of production of molecular mediator of immune response	5/47	189/18614	0.000111092223886674	0.00123539003922132	0.000609989426518214	IL1R1/WNT5A/CD40LG/TNFSF4/HMOX1	5
BP	GO:0032602	chemokine production	4/47	99/18614	0.000112663109671651	0.00123539003922132	0.000609989426518214	WNT5A/C5/TNFSF4/HMOX1	4
BP	GO:1990868	response to chemokine	4/47	99/18614	0.000112663109671651	0.00123539003922132	0.000609989426518214	CXCL1/SLIT2/CX3CL1/ACKR3	4
BP	GO:1990869	cellular response to chemokine	4/47	99/18614	0.000112663109671651	0.00123539003922132	0.000609989426518214	CXCL1/SLIT2/CX3CL1/ACKR3	4
BP	GO:0030323	respiratory tube development	5/47	190/18614	0.000113880542230814	0.00124258818246923	0.00061354360061092	FGF7/PDGFA/FGFR2/WNT5A/BMP4	5
BP	GO:0036293	response to decreased oxygen levels	6/47	306/18614	0.000114453537830653	0.0012427185602691	0.000613607976295399	PDGFA/TGFBR3/HMOX1/VEGFC/VCAM1/PENK	6
BP	GO:0032755	positive regulation of interleukin-6 production	4/47	100/18614	0.000117141185748621	0.00126569622650339	0.000624953489051691	WNT5A/EREG/TLR1/TNFSF4	4
BP	GO:0032102	negative regulation of response to external stimulus	7/47	446/18614	0.000118792865870459	0.00127731164030615	0.00063068874624122	PDGFA/TEK/SLIT2/MDK/WNT5A/C5/CX3CL1	7
BP	GO:0003180	aortic valve morphogenesis	3/47	38/18614	0.000119622907637084	0.00128002290056106	0.000632027465217034	ELN/SLIT2/BMP4	3
BP	GO:0001823	mesonephros development	4/47	102/18614	0.000126482857675375	0.00134692081611037	0.000665059155489449	FGFR2/SLIT2/BMP4/CRLF1	4
BP	GO:0010975	regulation of neuron projection development	7/47	452/18614	0.000129048057169559	0.00136766242406972	0.000675300586246142	PTN/SLIT2/MDK/WNT5A/PLXND1/CX3CL1/IGF1R	7
BP	GO:0051960	regulation of nervous system development	7/47	461/18614	0.000145773627960249	0.00153756469491406	0.000759191977196485	PTN/SLIT2/MDK/WNT5A/PLXND1/CX3CL1/VEGFC	7
BP	GO:0043393	regulation of protein binding	5/47	201/18614	0.000148237103950427	0.00155613831872131	0.000768362938411044	WNT5A/PLXND1/TGFBR3/BMP4/ADRB2	5
BP	GO:0048246	macrophage chemotaxis	3/47	41/18614	0.000150358894213984	0.00157096674850931	0.00077568466280203	MDK/C5/MSTN	3
BP	GO:0071674	mononuclear cell migration	5/47	202/18614	0.000151714186145094	0.00157522821004141	0.000777788813227051	SLIT2/MDK/WNT5A/CX3CL1/MSTN	5
BP	GO:0030593	neutrophil chemotaxis	4/47	107/18614	0.000152189091173301	0.00157522821004141	0.000777788813227051	CXCL1/SLIT2/MDK/CX3CL1	4
BP	GO:0051216	cartilage development	5/47	203/18614	0.000155253420544003	0.00159947128606961	0.000789759138042689	BMP1/MDK/WNT5A/BMP4/FGFR3	5
BP	GO:1902106	negative regulation of leukocyte differentiation	4/47	109/18614	0.000163459389345522	0.00167621549722376	0.000827652561062366	INHBA/MDK/BMP4/TNFSF4	4
BP	GO:0003176	aortic valve development	3/47	43/18614	0.000173454402865714	0.00173516662741164	0.000856760425748221	ELN/SLIT2/BMP4	3
BP	GO:0030501	positive regulation of bone mineralization	3/47	43/18614	0.000173454402865714	0.00173516662741164	0.000856760425748221	PTN/BMP4/ADRB2	3
BP	GO:0032735	positive regulation of interleukin-12 production	3/47	43/18614	0.000173454402865714	0.00173516662741164	0.000856760425748221	MDK/CD40LG/TNFSF4	3
BP	GO:0051150	regulation of smooth muscle cell differentiation	3/47	43/18614	0.000173454402865714	0.00173516662741164	0.000856760425748221	FGFR2/EREG/BMP4	3
BP	GO:0060428	lung epithelium development	3/47	43/18614	0.000173454402865714	0.00173516662741164	0.000856760425748221	FGF7/FGFR2/BMP4	3
BP	GO:1901654	response to ketone	5/47	208/18614	0.000173908348210106	0.00173516662741164	0.000856760425748221	SLIT2/TGFBR3/IGF1R/MSTN/TNFSF4	5
BP	GO:0070482	response to oxygen levels	6/47	333/18614	0.000181349125369965	0.001801292882038	0.00088941109869905	PDGFA/TGFBR3/HMOX1/VEGFC/VCAM1/PENK	6
BP	GO:0060562	epithelial tube morphogenesis	6/47	334/18614	0.000184317246590976	0.00181391839266363	0.000895645103945594	FGFR2/SLIT2/MDK/WNT5A/PLXND1/BMP4	6
BP	GO:1904646	cellular response to amyloid-beta	3/47	44/18614	0.000185817138170455	0.00181391839266363	0.000895645103945594	ADRB2/IGF1R/VCAM1	3
BP	GO:2000249	regulation of actin cytoskeleton reorganization	3/47	44/18614	0.000185817138170455	0.00181391839266363	0.000895645103945594	TEK/MDK/NTF3	3
BP	GO:0060541	respiratory system development	5/47	211/18614	0.000185895925568689	0.00181391839266363	0.000895645103945594	FGF7/PDGFA/FGFR2/WNT5A/BMP4	5
BP	GO:0044344	cellular response to fibroblast growth factor stimulus	4/47	113/18614	0.000187793229889153	0.00182439475528278	0.000900817940234672	FGF7/FGFR2/WNT5A/FGFR3	4
BP	GO:0031532	actin cytoskeleton reorganization	4/47	114/18614	0.000194263687864161	0.00187901340008348	0.000927786585570506	FGF7/TEK/MDK/NTF3	4
BP	GO:0031295	T cell costimulation	3/47	45/18614	0.0001987378878528	0.00188928936306417	0.0009328604720084	MAP3K8/CD40LG/TNFSF4	3
BP	GO:0060443	mammary gland morphogenesis	3/47	45/18614	0.0001987378878528	0.00188928936306417	0.0009328604720084	FGFR2/WNT5A/BMP4	3
BP	GO:1902622	regulation of neutrophil migration	3/47	45/18614	0.0001987378878528	0.00188928936306417	0.0009328604720084	IL1R1/SLIT2/MDK	3
BP	GO:1902692	regulation of neuroblast proliferation	3/47	45/18614	0.0001987378878528	0.00188928936306417	0.0009328604720084	PTN/CX3CL1/VEGFC	3
BP	GO:0048545	response to steroid hormone	6/47	339/18614	0.000199740269010676	0.00189070382845576	0.000933558882150664	SLIT2/MDK/BMP4/IGF1R/MSTN/PTGDS	6
BP	GO:1903707	negative regulation of hemopoiesis	4/47	115/18614	0.000200893577167448	0.00189352882308892	0.000934953758911437	INHBA/MDK/BMP4/TNFSF4	4
BP	GO:2000273	positive regulation of signaling receptor activity	3/47	46/18614	0.000212227562384052	0.00199188157068082	0.000983516669567483	EREG/ADRB2/HBEGF	3
BP	GO:0010837	regulation of keratinocyte proliferation	3/47	47/18614	0.000226296984883633	0.00207986647932468	0.00102696032886698	FGF7/FGFR2/MDK	3
BP	GO:0031294	lymphocyte costimulation	3/47	47/18614	0.000226296984883633	0.00207986647932468	0.00102696032886698	MAP3K8/CD40LG/TNFSF4	3
BP	GO:0048286	lung alveolus development	3/47	47/18614	0.000226296984883633	0.00207986647932468	0.00102696032886698	PDGFA/FGFR2/BMP4	3
BP	GO:0050919	negative chemotaxis	3/47	47/18614	0.000226296984883633	0.00207986647932468	0.00102696032886698	PDGFA/SLIT2/WNT5A	3
BP	GO:1905314	semi-lunar valve development	3/47	47/18614	0.000226296984883633	0.00207986647932468	0.00102696032886698	ELN/SLIT2/BMP4	3
BP	GO:0002718	regulation of cytokine production involved in immune response	4/47	119/18614	0.00022905420059437	0.00209650848891128	0.00103517753117682	IL1R1/WNT5A/TNFSF4/HMOX1	4
BP	GO:0071774	response to fibroblast growth factor	4/47	120/18614	0.000236516383480882	0.00215590036794302	0.00106450302116802	FGF7/FGFR2/WNT5A/FGFR3	4
BP	GO:0030850	prostate gland development	3/47	48/18614	0.000240956891538939	0.0021784469990153	0.001075635704872	FGFR2/WNT5A/BMP4	3
BP	GO:0060976	coronary vasculature development	3/47	48/18614	0.000240956891538939	0.0021784469990153	0.001075635704872	PLXND1/TGFBR3/BMP4	3
BP	GO:0002367	cytokine production involved in immune response	4/47	121/18614	0.000244152109353947	0.00219836147243493	0.00108546872750856	IL1R1/WNT5A/TNFSF4/HMOX1	4
BP	GO:0071222	cellular response to lipopolysaccharide	5/47	224/18614	0.000245304213251207	0.00219979284352803	0.00108617548505436	CXCL1/WNT5A/CX3CL1/CD14/TNFSF4	5
BP	GO:0046660	female sex differentiation	4/47	122/18614	0.000251963757840879	0.00223239889447019	0.00110227513430178	INHBA/SLIT2/WNT5A/EREG	4
BP	GO:0071675	regulation of mononuclear cell migration	4/47	122/18614	0.000251963757840879	0.00223239889447019	0.00110227513430178	SLIT2/MDK/WNT5A/MSTN	4
BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	4/47	122/18614	0.000251963757840879	0.00223239889447019	0.00110227513430178	INHBA/TGFBR3/BMP4/MSTN	4
BP	GO:0097191	extrinsic apoptotic signaling pathway	5/47	227/18614	0.000260859771384611	0.00230200953632236	0.00113664626742969	INHBA/CX3CL1/BMP4/HMOX1/FGFR3	5
BP	GO:0008406	gonad development	5/47	228/18614	0.000266208257455504	0.00233988607247596	0.00115534828528099	PDGFA/INHBA/SLIT2/WNT5A/EREG	5
BP	GO:0010862	positive regulation of pathway-restricted SMAD protein phosphorylation	3/47	50/18614	0.000272090669914009	0.00235257680116499	0.0011616144927696	INHBA/BMP4/MSTN	3
BP	GO:0045581	negative regulation of T cell differentiation	3/47	50/18614	0.000272090669914009	0.00235257680116499	0.0011616144927696	MDK/BMP4/TNFSF4	3
BP	GO:0048546	digestive tract morphogenesis	3/47	50/18614	0.000272090669914009	0.00235257680116499	0.0011616144927696	FGFR2/WNT5A/BMP4	3
BP	GO:0003129	heart induction	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	WNT5A/BMP4	2
BP	GO:0038130	ERBB4 signaling pathway	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	EREG/HBEGF	2
BP	GO:0070339	response to bacterial lipopeptide	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	TLR1/CD14	2
BP	GO:0071220	cellular response to bacterial lipoprotein	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	TLR1/CD14	2
BP	GO:0071221	cellular response to bacterial lipopeptide	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	TLR1/CD14	2
BP	GO:2000347	positive regulation of hepatocyte proliferation	2/47	10/18614	0.000277211081311089	0.00235257680116499	0.0011616144927696	PTN/MDK	2
BP	GO:0001704	formation of primary germ layer	4/47	127/18614	0.000293744641311839	0.00247788619687877	0.00122348758871666	INHBA/FGFR2/WNT5A/BMP4	4
BP	GO:0045137	development of primary sexual characteristics	5/47	233/18614	0.000294214026988314	0.00247788619687877	0.00122348758871666	PDGFA/INHBA/SLIT2/WNT5A/EREG	5
BP	GO:0010656	negative regulation of muscle cell apoptotic process	3/47	52/18614	0.000305713064220915	0.00255529976320501	0.00126171151430201	MDK/IGF1R/HMOX1	3
BP	GO:0060425	lung morphogenesis	3/47	52/18614	0.000305713064220915	0.00255529976320501	0.00126171151430201	FGF7/FGFR2/BMP4	3
BP	GO:2000027	regulation of animal organ morphogenesis	4/47	129/18614	0.000311772550596011	0.00259615112620363	0.00128188239046005	FGF7/PDGFA/WNT5A/BMP4	4
BP	GO:0051098	regulation of binding	6/47	369/18614	0.000315021918377125	0.00261338407942072	0.00129039137864709	WNT5A/PLXND1/TGFBR3/BMP4/ADRB2/HMOX1	6
BP	GO:0048146	positive regulation of fibroblast proliferation	3/47	53/18614	0.000323483421031874	0.00265376213920593	0.00131032855536888	PDGFA/WNT5A/EREG	3
BP	GO:0070169	positive regulation of biomineral tissue development	3/47	53/18614	0.000323483421031874	0.00265376213920593	0.00131032855536888	PTN/BMP4/ADRB2	3
BP	GO:0071622	regulation of granulocyte chemotaxis	3/47	53/18614	0.000323483421031874	0.00265376213920593	0.00131032855536888	SLIT2/MDK/MSTN	3
BP	GO:0050670	regulation of lymphocyte proliferation	5/47	239/18614	0.000330715411101675	0.00270307983612624	0.00133467979077351	GAL/BMP4/CD40LG/TNFSF4/VCAM1	5
BP	GO:0002274	myeloid leukocyte activation	5/47	240/18614	0.000337118346258453	0.00270472761515796	0.00133549340247077	WNT5A/CX3CL1/TLR1/HMOX1/PTGDS	5
BP	GO:0003139	secondary heart field specification	2/47	11/18614	0.000338268130013316	0.00270472761515796	0.00133549340247077	WNT5A/BMP4	2
BP	GO:0021889	olfactory bulb interneuron differentiation	2/47	11/18614	0.000338268130013316	0.00270472761515796	0.00133549340247077	SLIT2/WNT5A	2
BP	GO:0032493	response to bacterial lipoprotein	2/47	11/18614	0.000338268130013316	0.00270472761515796	0.00133549340247077	TLR1/CD14	2
BP	GO:0044848	biological phase	2/47	11/18614	0.000338268130013316	0.00270472761515796	0.00133549340247077	WNT5A/GAL	2
BP	GO:2000826	regulation of heart morphogenesis	2/47	11/18614	0.000338268130013316	0.00270472761515796	0.00133549340247077	WNT5A/BMP4	2
BP	GO:0014009	glial cell proliferation	3/47	54/18614	0.000341906876859697	0.00270472761515796	0.00133549340247077	CX3CL1/VEGFC/PENK	3
BP	GO:1904645	response to amyloid-beta	3/47	54/18614	0.000341906876859697	0.00270472761515796	0.00133549340247077	ADRB2/IGF1R/VCAM1	3
BP	GO:2000179	positive regulation of neural precursor cell proliferation	3/47	54/18614	0.000341906876859697	0.00270472761515796	0.00133549340247077	MDK/CX3CL1/VEGFC	3
BP	GO:0030336	negative regulation of cell migration	6/47	375/18614	0.000343338694258331	0.00270638863979432	0.00133631355435252	IFITM1/SLIT2/C5/CX3CL1/BMP4/HMOX1	6
BP	GO:0002696	positive regulation of leukocyte activation	6/47	377/18614	0.000353209256994885	0.00276451768283983	0.00136501550313441	MDK/WNT5A/MAP3K8/CD40LG/TNFSF4/VCAM1	6
BP	GO:0050863	regulation of T cell activation	6/47	377/18614	0.000353209256994885	0.00276451768283983	0.00136501550313441	MDK/MAP3K8/BMP4/CD40LG/TNFSF4/VCAM1	6
